Untitled report,,,,,,
"November 1, 2025 - November 30, 2025",,,,,,
Campaign,Day,Device,Currency code,Cost,Impr.,Clicks
PRO_Search_|_Oct_25,01-11-2025,Computers,INR,35.61,111,12
PRO_Search_|_Oct_25,01-11-2025,Mobile phones,INR,1981.89,"35,114",563
PRO_Search_|_Oct_25,01-11-2025,Tablets,INR,1.01,3,1
ME_Search_|_Oct_25,01-11-2025,Computers,INR,32.88,135,6
ME_Search_|_Oct_25,01-11-2025,Mobile phones,INR,2427.82,"44,065",601
ME_Search_|_Oct_25,01-11-2025,Tablets,INR,1.13,2,1
IKONIC-AMZ-Glide-Peach-14-Oct-2025,01-11-2025,Other,INR,20.46,272,7
IKONIC-AMZ-Glide-Peach-14-Oct-2025,01-11-2025,Mobile phones,INR,905.81,"10,078",328
IKONIC-AMZ-Glide-Peach-14-Oct-2025,01-11-2025,Tablets,INR,0,10,0
Me_Sales_P-Max_Oct25,01-11-2025,Other,INR,0,46,0
Me_Sales_P-Max_Oct25,01-11-2025,Computers,INR,0.27,21,0
Me_Sales_P-Max_Oct25,01-11-2025,Mobile phones,INR,2560.1,"75,079","3,518"
Me_Sales_P-Max_Oct25,01-11-2025,Tablets,INR,9.88,146,4
Pro_Sales_P-Max_Oct25,01-11-2025,Other,INR,40.56,192,6
Pro_Sales_P-Max_Oct25,01-11-2025,Computers,INR,1.3,16,0
Pro_Sales_P-Max_Oct25,01-11-2025,Mobile phones,INR,2904.16,"70,987","2,747"
Pro_Sales_P-Max_Oct25,01-11-2025,Tablets,INR,2.27,158,4
PRO_Search_|_Oct_25,03-11-2025,Computers,INR,5.6,18,1
PRO_Search_|_Oct_25,03-11-2025,Mobile phones,INR,349.51,"2,862",86
ME_Search_|_Oct_25,03-11-2025,Computers,INR,20.45,24,3
ME_Search_|_Oct_25,03-11-2025,Mobile phones,INR,576.79,"3,546",98
ME_Search_|_Oct_25,03-11-2025,Tablets,INR,0,0,0
IKONIC-AMZ-Glide-Peach-14-Oct-2025,03-11-2025,Other,INR,0,2,0
IKONIC-AMZ-Glide-Peach-14-Oct-2025,03-11-2025,Mobile phones,INR,6.58,82,2
IKONIC-AMZ-Glide-Peach-14-Oct-2025,03-11-2025,Tablets,INR,0,0,0
Me_Sales_P-Max_Oct25,03-11-2025,Computers,INR,0,19,0
Me_Sales_P-Max_Oct25,03-11-2025,Mobile phones,INR,109.44,"2,313",35
Me_Sales_P-Max_Oct25,03-11-2025,Tablets,INR,0,12,0
Pro_Sales_P-Max_Oct25,03-11-2025,Computers,INR,0,5,0
Pro_Sales_P-Max_Oct25,03-11-2025,Mobile phones,INR,28.41,"1,273",29
Pro_Sales_P-Max_Oct25,03-11-2025,Tablets,INR,0,4,0
PRO_Search_|_Oct_25,04-11-2025,Computers,INR,98.7,200,23
PRO_Search_|_Oct_25,04-11-2025,Mobile phones,INR,1902.16,"17,651",429
PRO_Search_|_Oct_25,04-11-2025,Tablets,INR,5.98,10,1
ME_Search_|_Oct_25,04-11-2025,Computers,INR,62.32,95,11
ME_Search_|_Oct_25,04-11-2025,Mobile phones,INR,1296.04,"17,963",304
ME_Search_|_Oct_25,04-11-2025,Tablets,INR,0,7,0
IKONIC-AMZ-Glide-Peach-14-Oct-2025,04-11-2025,Other,INR,49.7,631,17
IKONIC-AMZ-Glide-Peach-14-Oct-2025,04-11-2025,Mobile phones,INR,1986.84,"20,514",689
IKONIC-AMZ-Glide-Peach-14-Oct-2025,04-11-2025,Tablets,INR,2.59,32,1
Me_Sales_P-Max_Oct25,04-11-2025,Other,INR,7.06,216,5
Me_Sales_P-Max_Oct25,04-11-2025,Computers,INR,445.59,610,12
Me_Sales_P-Max_Oct25,04-11-2025,Mobile phones,INR,3696.86,"45,865","1,118"
Me_Sales_P-Max_Oct25,04-11-2025,Tablets,INR,6.82,105,1
Pro_Sales_P-Max_Oct25,04-11-2025,Computers,INR,108.4,492,8
Pro_Sales_P-Max_Oct25,04-11-2025,Mobile phones,INR,2178.64,"27,422",479
Pro_Sales_P-Max_Oct25,04-11-2025,Tablets,INR,6.81,78,2
PRO_Search_|_Oct_25,05-11-2025,Computers,INR,7.19,4,1
PRO_Search_|_Oct_25,05-11-2025,Mobile phones,INR,381.8,"4,268",87
PRO_Search_|_Oct_25,05-11-2025,Tablets,INR,7.19,5,1
ME_Search_|_Oct_25,05-11-2025,Computers,INR,0,2,0
ME_Search_|_Oct_25,05-11-2025,Mobile phones,INR,63.59,"1,963",16
IKONIC-AMZ-Glide-Peach-14-Oct-2025,05-11-2025,Other,INR,5.89,45,2
IKONIC-AMZ-Glide-Peach-14-Oct-2025,05-11-2025,Mobile phones,INR,110.38,884,37
IKONIC-AMZ-Glide-Peach-14-Oct-2025,05-11-2025,Tablets,INR,0,1,0
Me_Sales_P-Max_Oct25,05-11-2025,Other,INR,0,21,0
Me_Sales_P-Max_Oct25,05-11-2025,Computers,INR,8.21,32,7
Me_Sales_P-Max_Oct25,05-11-2025,Mobile phones,INR,607.88,"10,497",713
Me_Sales_P-Max_Oct25,05-11-2025,Tablets,INR,5.97,74,6
Pro_Sales_P-Max_Oct25,05-11-2025,Computers,INR,2.52,8,1
Pro_Sales_P-Max_Oct25,05-11-2025,Mobile phones,INR,567.2,"2,766",59
Pro_Sales_P-Max_Oct25,05-11-2025,Tablets,INR,2.52,61,0
PRO_Search_|_Oct_25,06-11-2025,Computers,INR,35.09,71,9
PRO_Search_|_Oct_25,06-11-2025,Mobile phones,INR,1003.49,"7,067",213
PRO_Search_|_Oct_25,06-11-2025,Tablets,INR,1.07,3,1
ME_Search_|_Oct_25,06-11-2025,Computers,INR,0,10,0
ME_Search_|_Oct_25,06-11-2025,Mobile phones,INR,461.7,"5,367",100
ME_Search_|_Oct_25,06-11-2025,Tablets,INR,0,1,0
IKONIC-AMZ-Glide-Peach-14-Oct-2025,06-11-2025,Other,INR,14.27,196,5
IKONIC-AMZ-Glide-Peach-14-Oct-2025,06-11-2025,Mobile phones,INR,697.18,"10,026",236
IKONIC-AMZ-Glide-Peach-14-Oct-2025,06-11-2025,Tablets,INR,0,9,0
Me_Sales_P-Max_Oct25,06-11-2025,Other,INR,0,3,0
Me_Sales_P-Max_Oct25,06-11-2025,Computers,INR,36.11,247,5
Me_Sales_P-Max_Oct25,06-11-2025,Mobile phones,INR,1366.35,"24,615","1,261"
Me_Sales_P-Max_Oct25,06-11-2025,Tablets,INR,3.92,127,6
Pro_Sales_P-Max_Oct25,06-11-2025,Other,INR,0,10,0
Pro_Sales_P-Max_Oct25,06-11-2025,Computers,INR,44.71,326,10
Pro_Sales_P-Max_Oct25,06-11-2025,Mobile phones,INR,2172.02,"36,116","1,296"
Pro_Sales_P-Max_Oct25,06-11-2025,Tablets,INR,45.12,"1,108",7
PRO_Search_|_Oct_25,07-11-2025,Computers,INR,307.59,185,29
PRO_Search_|_Oct_25,07-11-2025,Mobile phones,INR,2223.69,"9,253",378
PRO_Search_|_Oct_25,07-11-2025,Tablets,INR,0,10,0
ME_Search_|_Oct_25,07-11-2025,Computers,INR,34.42,48,8
ME_Search_|_Oct_25,07-11-2025,Mobile phones,INR,1134.31,"18,357",292
ME_Search_|_Oct_25,07-11-2025,Tablets,INR,5,7,1
IKONIC-AMZ-Glide-Peach-14-Oct-2025,07-11-2025,Other,INR,30.05,487,11
IKONIC-AMZ-Glide-Peach-14-Oct-2025,07-11-2025,Mobile phones,INR,1950.91,"21,568",675
IKONIC-AMZ-Glide-Peach-14-Oct-2025,07-11-2025,Tablets,INR,5.94,38,2
Me_Sales_P-Max_Oct25,07-11-2025,Other,INR,0,20,0
Me_Sales_P-Max_Oct25,07-11-2025,Computers,INR,95.77,588,18
Me_Sales_P-Max_Oct25,07-11-2025,Mobile phones,INR,3564.98,"58,173","3,281"
Me_Sales_P-Max_Oct25,07-11-2025,Tablets,INR,17.66,335,8
Pro_Sales_P-Max_Oct25,07-11-2025,Other,INR,4.51,37,2
Pro_Sales_P-Max_Oct25,07-11-2025,Computers,INR,26.36,408,9
Pro_Sales_P-Max_Oct25,07-11-2025,Mobile phones,INR,2693.23,"38,016","1,407"
Pro_Sales_P-Max_Oct25,07-11-2025,Tablets,INR,15.86,131,2
PRO_Search_|_Oct_25,08-11-2025,Computers,INR,388.29,291,33
PRO_Search_|_Oct_25,08-11-2025,Mobile phones,INR,4910.04,"5,641",451
PRO_Search_|_Oct_25,08-11-2025,Tablets,INR,14.18,28,1
ME_Search_|_Oct_25,08-11-2025,Computers,INR,51.94,131,7
ME_Search_|_Oct_25,08-11-2025,Mobile phones,INR,3610.01,"55,948",727
ME_Search_|_Oct_25,08-11-2025,Tablets,INR,0,1,0
IKONIC-AMZ-Glide-Peach-14-Oct-2025,08-11-2025,Other,INR,34.13,553,13
IKONIC-AMZ-Glide-Peach-14-Oct-2025,08-11-2025,Mobile phones,INR,1971.72,"21,901",721
IKONIC-AMZ-Glide-Peach-14-Oct-2025,08-11-2025,Tablets,INR,4.94,49,2
Me_Sales_P-Max_Oct25,08-11-2025,Computers,INR,49.89,275,12
Me_Sales_P-Max_Oct25,08-11-2025,Mobile phones,INR,1520.06,"32,465","1,270"
Me_Sales_P-Max_Oct25,08-11-2025,Tablets,INR,8.49,237,17
Pro_Sales_P-Max_Oct25,08-11-2025,Computers,INR,59.24,320,10
Pro_Sales_P-Max_Oct25,08-11-2025,Mobile phones,INR,1475.27,"28,908",953
Pro_Sales_P-Max_Oct25,08-11-2025,Tablets,INR,10.3,412,22
PRO_Search_|_Oct_25,09-11-2025,Computers,INR,287.81,207,9
PRO_Search_|_Oct_25,09-11-2025,Mobile phones,INR,7812.24,"6,794",441
PRO_Search_|_Oct_25,09-11-2025,Tablets,INR,1.91,46,1
ME_Search_|_Oct_25,09-11-2025,Computers,INR,75.58,139,7
ME_Search_|_Oct_25,09-11-2025,Mobile phones,INR,6924.23,"89,234","1,017"
ME_Search_|_Oct_25,09-11-2025,Tablets,INR,0,20,0
IKONIC-AMZ-Glide-Peach-14-Oct-2025,09-11-2025,Other,INR,46.27,417,15
IKONIC-AMZ-Glide-Peach-14-Oct-2025,09-11-2025,Mobile phones,INR,1739.87,"16,414",602
IKONIC-AMZ-Glide-Peach-14-Oct-2025,09-11-2025,Tablets,INR,0,21,0
Me_Sales_P-Max_Oct25,09-11-2025,Computers,INR,2.02,178,1
Me_Sales_P-Max_Oct25,09-11-2025,Mobile phones,INR,2957.41,"46,024","2,501"
Me_Sales_P-Max_Oct25,09-11-2025,Tablets,INR,21.77,666,30
Pro_Sales_P-Max_Oct25,09-11-2025,Computers,INR,18.32,191,8
Pro_Sales_P-Max_Oct25,09-11-2025,Mobile phones,INR,2959.93,"32,149","1,424"
Pro_Sales_P-Max_Oct25,09-11-2025,Tablets,INR,14.37,327,26
PRO_Search_|_Oct_25,10-11-2025,Computers,INR,686.6,397,23
PRO_Search_|_Oct_25,10-11-2025,Mobile phones,INR,7100.77,"10,313",353
PRO_Search_|_Oct_25,10-11-2025,Tablets,INR,35.96,68,2
ME_Search_|_Oct_25,10-11-2025,Computers,INR,241.74,279,24
ME_Search_|_Oct_25,10-11-2025,Mobile phones,INR,6760.22,"66,056",961
ME_Search_|_Oct_25,10-11-2025,Tablets,INR,0,12,0
IKONIC-AMZ-Glide-Peach-14-Oct-2025,10-11-2025,Other,INR,23.73,279,9
IKONIC-AMZ-Glide-Peach-14-Oct-2025,10-11-2025,Mobile phones,INR,1281.78,"12,788",466
IKONIC-AMZ-Glide-Peach-14-Oct-2025,10-11-2025,Tablets,INR,0,16,0
Me_Sales_P-Max_Oct25,10-11-2025,Computers,INR,115.29,503,19
Me_Sales_P-Max_Oct25,10-11-2025,Mobile phones,INR,2026.82,"22,582",382
Me_Sales_P-Max_Oct25,10-11-2025,Tablets,INR,0.06,42,0
Pro_Sales_P-Max_Oct25,10-11-2025,Other,INR,0,1,0
Pro_Sales_P-Max_Oct25,10-11-2025,Computers,INR,59.09,580,5
Pro_Sales_P-Max_Oct25,10-11-2025,Mobile phones,INR,1724.08,"22,290",516
Pro_Sales_P-Max_Oct25,10-11-2025,Tablets,INR,3.19,51,1
PRO_Search_|_Oct_25,11-11-2025,Computers,INR,305.96,148,28
PRO_Search_|_Oct_25,11-11-2025,Mobile phones,INR,3464.02,"2,931",278
PRO_Search_|_Oct_25,11-11-2025,Tablets,INR,0,15,0
ME_Search_|_Oct_25,11-11-2025,Computers,INR,250.88,290,29
ME_Search_|_Oct_25,11-11-2025,Mobile phones,INR,6752.46,"72,083","1,006"
ME_Search_|_Oct_25,11-11-2025,Tablets,INR,0,21,0
IKONIC-AMZ-Glide-Peach-14-Oct-2025,11-11-2025,Other,INR,18.82,318,7
IKONIC-AMZ-Glide-Peach-14-Oct-2025,11-11-2025,Mobile phones,INR,1173.33,"12,009",425
IKONIC-AMZ-Glide-Peach-14-Oct-2025,11-11-2025,Tablets,INR,0,26,0
Me_Sales_P-Max_Oct25,11-11-2025,Computers,INR,82.2,420,9
Me_Sales_P-Max_Oct25,11-11-2025,Mobile phones,INR,1783.19,"27,770",353
Me_Sales_P-Max_Oct25,11-11-2025,Tablets,INR,2,90,2
Pro_Sales_P-Max_Oct25,11-11-2025,Computers,INR,106.45,535,14
Pro_Sales_P-Max_Oct25,11-11-2025,Mobile phones,INR,1785.78,"24,166",418
Pro_Sales_P-Max_Oct25,11-11-2025,Tablets,INR,3.29,63,1
PRO_Search_|_Oct_25,12-11-2025,Computers,INR,446.55,185,28
PRO_Search_|_Oct_25,12-11-2025,Mobile phones,INR,3956.11,"3,078",343
PRO_Search_|_Oct_25,12-11-2025,Tablets,INR,0,12,0
ME_Search_|_Oct_25,12-11-2025,Computers,INR,157.81,340,16
ME_Search_|_Oct_25,12-11-2025,Mobile phones,INR,6847.28,"94,886","1,078"
ME_Search_|_Oct_25,12-11-2025,Tablets,INR,0.51,12,1
IKONIC-AMZ-Glide-Peach-14-Oct-2025,12-11-2025,Other,INR,18.7,294,7
IKONIC-AMZ-Glide-Peach-14-Oct-2025,12-11-2025,Mobile phones,INR,1143.76,"10,461",416
IKONIC-AMZ-Glide-Peach-14-Oct-2025,12-11-2025,Tablets,INR,0,10,0
Me_Sales_P-Max_Oct25,12-11-2025,Computers,INR,63.58,573,16
Me_Sales_P-Max_Oct25,12-11-2025,Mobile phones,INR,2084.79,"38,127",697
Me_Sales_P-Max_Oct25,12-11-2025,Tablets,INR,8.25,207,8
Pro_Sales_P-Max_Oct25,12-11-2025,Other,INR,0,1,0
Pro_Sales_P-Max_Oct25,12-11-2025,Computers,INR,119.97,813,15
Pro_Sales_P-Max_Oct25,12-11-2025,Mobile phones,INR,2776.08,"33,762",560
Pro_Sales_P-Max_Oct25,12-11-2025,Tablets,INR,2.18,92,0
PRO_Search_|_Oct_25,13-11-2025,Computers,INR,552.9,227,23
PRO_Search_|_Oct_25,13-11-2025,Mobile phones,INR,3874.81,"4,264",320
PRO_Search_|_Oct_25,13-11-2025,Tablets,INR,2.87,41,1
ME_Search_|_Oct_25,13-11-2025,Computers,INR,134.76,353,14
ME_Search_|_Oct_25,13-11-2025,Mobile phones,INR,6892.87,"1,10,974","1,154"
ME_Search_|_Oct_25,13-11-2025,Tablets,INR,0,23,0
IKONIC-AMZ-Glide-Peach-14-Oct-2025,13-11-2025,Other,INR,8.87,271,3
IKONIC-AMZ-Glide-Peach-14-Oct-2025,13-11-2025,Mobile phones,INR,953.79,"8,433",326
IKONIC-AMZ-Glide-Peach-14-Oct-2025,13-11-2025,Tablets,INR,0,13,0
Me_Sales_P-Max_Oct25,13-11-2025,Computers,INR,41.6,525,11
Me_Sales_P-Max_Oct25,13-11-2025,Mobile phones,INR,2032.15,"30,900",412
Me_Sales_P-Max_Oct25,13-11-2025,Tablets,INR,0.03,65,0
Pro_Sales_P-Max_Oct25,13-11-2025,Computers,INR,111.44,942,18
Pro_Sales_P-Max_Oct25,13-11-2025,Mobile phones,INR,3151.82,"34,840",653
Pro_Sales_P-Max_Oct25,13-11-2025,Tablets,INR,9.96,155,2
PRO_Search_|_Oct_25,14-11-2025,Computers,INR,293.33,262,23
PRO_Search_|_Oct_25,14-11-2025,Mobile phones,INR,3765.83,"6,508",377
PRO_Search_|_Oct_25,14-11-2025,Tablets,INR,5.35,47,2
ME_Search_|_Oct_25,14-11-2025,Computers,INR,348.59,166,20
ME_Search_|_Oct_25,14-11-2025,Mobile phones,INR,2434.39,"9,116",222
ME_Search_|_Oct_25,14-11-2025,Tablets,INR,0,18,0
IKONIC-AMZ-Glide-Peach-14-Oct-2025,14-11-2025,Other,INR,11.38,242,4
IKONIC-AMZ-Glide-Peach-14-Oct-2025,14-11-2025,Mobile phones,INR,1072.43,"10,573",386
IKONIC-AMZ-Glide-Peach-14-Oct-2025,14-11-2025,Tablets,INR,0,21,0
Me_Sales_P-Max_Oct25,14-11-2025,Computers,INR,69.72,495,12
Me_Sales_P-Max_Oct25,14-11-2025,Mobile phones,INR,1933.26,"31,638",445
Me_Sales_P-Max_Oct25,14-11-2025,Tablets,INR,10.51,112,4
Me_Sales_P-Max_Oct25,14-11-2025,TV screens,INR,26.95,91,0
Pro_Sales_P-Max_Oct25,14-11-2025,Computers,INR,180.81,799,18
Pro_Sales_P-Max_Oct25,14-11-2025,Mobile phones,INR,2365.32,"32,913",570
Pro_Sales_P-Max_Oct25,14-11-2025,Tablets,INR,6.04,77,2
Pro_Sales_P-Max_Oct25,14-11-2025,TV screens,INR,26.9,61,0
PRO_Search_|_Oct_25,15-11-2025,Computers,INR,271.64,147,17
PRO_Search_|_Oct_25,15-11-2025,Mobile phones,INR,3828.67,"4,728",400
PRO_Search_|_Oct_25,15-11-2025,Tablets,INR,1.02,35,2
ME_Search_|_Oct_25,15-11-2025,Computers,INR,167.56,80,8
ME_Search_|_Oct_25,15-11-2025,Mobile phones,INR,2287.85,"1,743",174
ME_Search_|_Oct_25,15-11-2025,Tablets,INR,0,10,0
IKONIC-AMZ-Glide-Peach-14-Oct-2025,15-11-2025,Other,INR,21.18,189,8
IKONIC-AMZ-Glide-Peach-14-Oct-2025,15-11-2025,Mobile phones,INR,911.71,"8,754",343
IKONIC-AMZ-Glide-Peach-14-Oct-2025,15-11-2025,Tablets,INR,2.56,20,1
Me_Sales_P-Max_Oct25,15-11-2025,Computers,INR,48.84,442,11
Me_Sales_P-Max_Oct25,15-11-2025,Mobile phones,INR,1923.52,"33,457",462
Me_Sales_P-Max_Oct25,15-11-2025,Tablets,INR,24.66,89,2
Pro_Sales_P-Max_Oct25,15-11-2025,Computers,INR,95.37,882,20
Pro_Sales_P-Max_Oct25,15-11-2025,Mobile phones,INR,3384.12,"42,403",742
Pro_Sales_P-Max_Oct25,15-11-2025,Tablets,INR,4.41,133,0
PRO_Search_|_Oct_25,16-11-2025,Computers,INR,111.31,91,9
PRO_Search_|_Oct_25,16-11-2025,Mobile phones,INR,2926.17,"3,969",365
PRO_Search_|_Oct_25,16-11-2025,Tablets,INR,0,13,0
ME_Search_|_Oct_25,16-11-2025,Computers,INR,8.56,58,1
ME_Search_|_Oct_25,16-11-2025,Mobile phones,INR,4474.02,"2,595",279
ME_Search_|_Oct_25,16-11-2025,Tablets,INR,61.34,21,1
IKONIC-AMZ-Glide-Peach-14-Oct-2025,16-11-2025,Other,INR,6.32,155,2
IKONIC-AMZ-Glide-Peach-14-Oct-2025,16-11-2025,Mobile phones,INR,916.3,"8,191",314
IKONIC-AMZ-Glide-Peach-14-Oct-2025,16-11-2025,Tablets,INR,0,10,0
Me_Sales_P-Max_Oct25,16-11-2025,Computers,INR,21.44,294,6
Me_Sales_P-Max_Oct25,16-11-2025,Mobile phones,INR,2018.6,"45,650",795
Me_Sales_P-Max_Oct25,16-11-2025,Tablets,INR,0.05,98,0
Pro_Sales_P-Max_Oct25,16-11-2025,Computers,INR,135.33,651,9
Pro_Sales_P-Max_Oct25,16-11-2025,Mobile phones,INR,3243.52,"40,978",723
Pro_Sales_P-Max_Oct25,16-11-2025,Tablets,INR,4.96,93,0
PRO_Search_|_Oct_25,17-11-2025,Computers,INR,482.35,284,28
PRO_Search_|_Oct_25,17-11-2025,Mobile phones,INR,4099.42,"4,967",423
PRO_Search_|_Oct_25,17-11-2025,Tablets,INR,0,19,0
ME_Search_|_Oct_25,17-11-2025,Computers,INR,633.36,137,23
ME_Search_|_Oct_25,17-11-2025,Mobile phones,INR,6335.83,"3,684",323
ME_Search_|_Oct_25,17-11-2025,Tablets,INR,49.64,22,2
IKONIC-AMZ-Glide-Peach-14-Oct-2025,17-11-2025,Other,INR,19.18,172,6
IKONIC-AMZ-Glide-Peach-14-Oct-2025,17-11-2025,Mobile phones,INR,916.33,"9,024",328
IKONIC-AMZ-Glide-Peach-14-Oct-2025,17-11-2025,Tablets,INR,0,9,0
Me_Sales_P-Max_Oct25,17-11-2025,Computers,INR,64.15,501,16
